id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm847623,Rogue Warfare: Death of a Nation,MOVIE,"After rescuing Daniel from the terrorist Black Mask Organization, the team uncovers plans for a deadly bomb set to detonate in 36 hours that threatens world order. With no time to recover, Daniel must throw his life back on the line as he and his elite team of soldiers race against time to find the bomb and defeat their enemy once and for all. Outnumbered and overmatched, each soldier must find their inner strength and skill to overcome insurmountable odds.",2020,R,103,"['war', 'action']",['US'],,tt7983744,3.3,380.0,3.373,4.8
tm925218,Monster Run,MOVIE,"Some strange things have always existed, you think it is a coincidence, or make up a reason to make it reasonable, in fact, because you do not want to admit. At the end of the season, she was regarded as an outlier because she could see monsters, until one day she saw monsters again in the supermarket where she worked and magically met Monster Hunter-Brother Meng. She discovered that there really were monsters in the world, and the two young men were involved in a new storm.",2020,,104,"['fantasy', 'scifi', 'thriller', 'action', 'drama']","['CN', 'HK']",,tt10097484,5.2,417.0,4.601,4.8
ts188991,Someone Has to Die,SHOW,"The story begins with a young boy being asked by his parents to return to Spain to meet his fiance. He returns accompanied by Lazaro, a mysterious ballet dancer.",2020,TV-MA,50,"['drama', 'thriller', 'crime']","['ES', 'MX']",1.0,tt10311932,6.3,4841.0,9.426,7.3
ts90511,Crime Diaries: Night Out,SHOW,"After going to a Halloween party, college student Luis Andrés Colmenares is found dead. Was it an accident or murder? Inspired by true events.",2019,TV-MA,44,['crime'],['MX'],1.0,tt10242266,7.3,865.0,11.376,7.3
ts237239,All For Love,SHOW,"A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.",2020,,46,[],['CO'],1.0,,,,34.554,7.4
tm977464,Youth v Gov,MOVIE,"How can we bring accountability over the climate crisis? This inspiring story of youth activism documents 21 activists from across the nation as they file a groundbreaking lawsuit against the United States. The case reveals evidence that the government has endangered their constitutional rights to life, liberty, and property by acting over six decades to create the climate crisis. Youth v Gov, produced by the company behind acclaimed films such as The Ivory Game and Step, shows the power of young people to lead.",2020,,110,['documentation'],[],,tt13192640,6.7,70.0,1.841,10.0
ts191285,The Prince of Tennis,SHOW,A tennis whiz beats the odds to excel on the court while juggling school and inspiring teammates. Based on the hit manga series by Takeshi Konomi.,2019,TV-PG,45,"['drama', 'sport']",['CN'],1.0,tt10097916,7.6,216.0,3.97,9.2
tm946360,Really Love,MOVIE,A rising black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,2020,,95,"['romance', 'drama']",['US'],,tt8722624,6.1,847.0,5.788,6.4
tm858416,Guilty,MOVIE,A young woman from a small town accuses the college heartthrob of sexual assault.,2020,,119,['thriller'],['IN'],,,,,5.475,6.7
tm984935,Rhys Nicholson: Live at the Athenaeum,MOVIE,"Rhys Nicholson flexes his biting humor as he discusses horse tranquilizers, angry letters from viewers, and more in this stand-up special.",2020,,65,['comedy'],[],,tt13583120,7.5,316.0,1.628,7.7
tm917325,Dragons: Rescue Riders: Secrets of the Songwing,MOVIE,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell.",2020,,45,"['animation', 'action', 'comedy', 'family', 'fantasy']",['US'],,tt12599350,5.0,181.0,15.106,8.0
tm838954,Wira,MOVIE,"After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.",2019,,108,"['action', 'drama']",['MY'],,tt11194492,6.3,476.0,2.33,5.4
tm675154,Malaal,MOVIE,"Malaal is the story of Shiva and Astha, two very different people from contrasting backgrounds who experience the innocence of love. Does their love find its destination or do they part ways? Stay on this journey to find out.",2019,,136,"['drama', 'romance', 'action']",['IN'],,tt10305616,5.8,1066.0,1.644,5.3
ts91125,Chief of Staff,SHOW,"As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.",2019,,66,"['drama', 'war']",['KR'],2.0,,,,6.992,8.5
tm844662,Ronny Chieng: Asian Comedian Destroys America!,MOVIE,"Ronny Chieng (""The Daily Show,"" ""Crazy Rich Asians"") takes center stage in this stand-up special and riffs on modern American life and more.",2019,,63,['comedy'],['US'],,tt11248800,7.4,3224.0,3.464,7.0
tm918853,All Together Now,MOVIE,"An optimistic, talented teen clings to a huge secret: she's homeless and living on a school bus. When tragedy strikes, can she learn to accept a helping hand?",2020,PG,92,['drama'],['US'],,tt3155342,6.5,4388.0,7.402,6.8
ts216698,Nadiya's Time to Eat,SHOW,Nadiya Hussain’s Time To Eat promises recipes that can be cooked in a hurry but have buckets of flavour.,2019,,29,['reality'],['GB'],1.0,,,,1.96,10.0
tm460815,Luka Chuppi,MOVIE,The story of a television reporter in Mathura who falls in love with a headstrong woman.,2019,,126,"['comedy', 'romance', 'drama']",['IN'],,tt8908002,6.3,11345.0,7.384,6.1
ts90466,Hong Kong West Side Stories,SHOW,"The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.",2019,TV-MA,23,"['drama', 'comedy']",['HK'],2.0,tt10282734,5.7,6.0,1.541,8.3
